Lateness,Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
-1421.8334,34.986458,236518200,13,0,5.59,11.69,299,30,6,2990
-1351.125,35.777084,257377300,12,1,3.56,8.57,197,20,4,2872
-1445,37.956875,268560400,11,1,4.57,8.1,216,20,4,2218
-1422.8182,38.414017,295337100,13,3,4.29,9.17,216,20,4,3135
-1433,40.004166,360572860,17,5,5.47,11.88,138,15,3,1421
-1746.1765,44.227886,389982340,13,1,4.96,10.51,246,25,5,2576
-1787.8334,45.34375,381959780,14,2,4.71,10.84,255,25,5,2984
-1824.0952,48.52139,375477730,12,1,4.54,9.76,148,15,3,1602
-1754.6666,49.726562,410397100,12,3,4.72,10.95,307,30,6,3473
-1729.08,51.032356,544799550,16,5,6.03,11.4,246,25,5,3019
-1734.4814,56.451042,566314750,17,3,5.82,11.62,241,25,5,2485
-1761.25,70.29771,575345800,13,0,6.77,12.18,261,25,5,3863
-1746.2424,71.70824,587049540,13,1,5.33,10.48,240,25,5,3408
-1705,73.30615,621256600,13,3,4.12,10.25,293,30,6,4251
-1692.2433,77.30145,617122240,13,1,5.08,10.45,142,15,3,1425
-1659.0975,78.202774,611960900,11,2,3.6,9.79,158,15,3,1633
-1652.0698,78.98717,686209100,11,2,4.27,11.05,297,30,6,4039
-1657.5555,86.67484,673500700,10,0,3.32,8.58,155,15,3,2126
-1646.6305,83.579315,709153900,13,4,1.76,3.88,298,30,6,3773
-1690.22,88.405205,767678660,11,2,5.23,10.44,258,25,5,2955
-1690.22,94.66035,800835300,12,1,5.45,11.57,142,15,3,1535
-1711.7451,95.54133,830584600,15,4,5.08,11.27,298,30,6,4261
-1727.7925,96.84869,807574600,15,2,5.64,10.66,341,35,7,3598
-1739.9073,97.94741,871005600,17,3,5.66,10.57,236,25,5,2427
-1727.2587,104.05552,914190700,16,3,6.38,10.97,193,20,4,2789
-1702.0333,106.49226,935426700,15,1,6.38,10.15,193,20,4,2142
-1735,114.00272,963144000,14,2,7.64,11.65,295,30,6,4423
-1752.375,117.08418,1.0245756E+09,16,3,6.98,11.56,342,35,7,4207
-1735.8,119.9704,1.1002159E+09,21,6,7.35,10.66,202,20,4,2455
-1711.5074,129.8524,1.1070602E+09,20,1,6.71,11.96,236,25,5,3115
-1657.137,135.91026,1.0917384E+09,15,1,7.49,10.71,311,30,6,4058
-1630.8052,138.99117,1.1118444E+09,12,1,6.6,11.17,290,30,6,3090
-1596.8228,140.5374,1.1007101E+09,12,2,4.88,11.12,157,15,3,1707
-1564.8682,138.65816,1.0640287E+09,3,0,0,0,147,15,3,1475
-1564.8682,137.56775,1.1019647E+09,7,4,3.74,9.69,143,15,3,1829
-1583.699,146.43413,1.1694207E+09,8,0,5.06,10.28,254,25,5,3632
-1592.4894,149.5375,1.1593937E+09,8,1,5.19,10.58,246,25,5,2930
-1591.5938,150.16974,1.1528863E+09,9,0,3.06,7.19,151,15,3,1559
-1591.9587,149.18916,1.1537238E+09,10,0,1.21,2.84,158,15,3,2246
-1611.0693,147.52904,1.1729073E+09,8,2,1.48,3.44,150,15,3,2217
-1612.8156,149.62196,1.2525339E+09,10,4,4.31,10.71,306,30,6,4053
-1637.1714,156.10718,1.2707818E+09,9,1,5.75,10.25,245,25,5,2583
-1642.434,159.9768,1.2578193E+09,9,0,1.74,5.18,156,15,3,1896
-1644.5636,160.33363,1.2769644E+09,7,2,2.17,5.56,158,15,3,1979
-1644.5636,161.71344,1.3259722E+09,10,3,3.79,8.36,152,15,3,2062
-1650.2389,167.54271,1.3247209E+09,10,0,4.05,9.24,194,20,4,2889
-1658.0427,164.74734,1.2960787E+09,8,0,1.46,3.19,156,15,3,1564
-1654.2773,163.28925,1.3463878E+09,10,4,2.1,5.48,160,15,3,2314
-1660.2295,169.17126,1.3571576E+09,9,2,5.33,11.24,149,15,3,1601
-1659.4553,172.02902,1.3672764E+09,10,2,4.23,9.84,151,15,3,1668
-1660.3871,173.53989,1.3734548E+09,11,2,3.64,8.16,246,25,5,3321
-1651.3616,174.8706,1.3506454E+09,6,0,3.04,6.92,155,15,3,2045
-1651.3616,176.4753,1.4217213E+09,8,2,3.75,7.6,252,25,5,3295
-1646.5303,183.10928,1.4370845E+09,9,0,4.58,9.22,151,15,3,1539
-1646.5303,182.81229,1.4745919E+09,11,2,3.48,8.77,342,35,7,3467
-1666.6194,185.59224,1.4591927E+09,10,1,3.94,8.8,152,15,3,1558
-1678.9052,189.59114,1.4803775E+09,10,0,3.38,7.42,154,15,3,2196
-1683.1786,188.00656,1.4776389E+09,8,1,1.86,3.76,163,15,3,1855
-1708.6959,186.12683,1.4614907E+09,4,0,0,0,143,15,3,1459
-1712.9396,183.9371,1.4442966E+09,4,1,0,0.04,306,30,6,4557
-1712.36,190.42421,1.4814797E+09,7,0,4.62,10.93,260,25,5,3561
-1717.2914,190.8405,1.485345E+09,8,2,3.92,8.15,306,30,6,3542
-1713.6624,191.05719,1.5568584E+09,8,3,5.73,10.91,345,35,7,4711
-1713.6624,196.75703,1.5621336E+09,10,2,6.22,10.99,256,25,5,2947
-1712.109,209.70511,1.6373633E+09,12,0,4.36,9.27,301,30,6,4114
-1712.109,208.99109,1.6352265E+09,13,1,3.07,6.02,245,25,5,3269
-1731.75,203.69746,1.5850701E+09,6,0,0,0,153,15,3,1953
-1738.4819,201.41956,1.5674348E+09,6,0,3.35,6.42,350,35,7,5056
-1747.6467,201.70587,1.5865265E+09,7,2,2.38,7.16,143,15,3,1596
-1747.6467,202.0923,1.6322408E+09,13,6,4.23,10.64,158,15,3,1737
-1761.4379,206.25209,1.672392E+09,12,1,5.6,11.56,142,15,3,2072
-1775.4412,209.47188,1.6892774E+09,12,1,4.77,10.73,138,15,3,1795
-1763.9884,214.09418,1.7303351E+09,13,3,6.15,10.7,191,20,4,1996
-1762.1724,217.61713,1.7462303E+09,14,3,5.4,11.26,345,35,7,4630
-1748.0614,223.96118,1.8299459E+09,13,0,5.79,11.69,238,25,5,3369
-1743.6333,230.2632,1.8346671E+09,13,1,4.93,9.21,145,15,3,1924
-1739.1437,235.01768,1.8497742E+09,8,0,4.82,8.2,152,15,3,1828
-1739.1437,235.77203,1.8515712E+09,11,3,3.18,8.18,208,20,4,2313
-1739.1437,236.49557,1.8587773E+09,12,1,3.19,6.31,245,25,5,3584
-1736.1152,237.93158,1.8522866E+09,10,1,3.19,8.08,150,15,3,1766
-1735.6459,238.17621,1.8889729E+09,12,3,4.15,9.58,193,20,4,2474
-1747.7653,241.3847,1.878559E+09,10,2,4.62,10.41,153,15,3,1963
-1748.7867,241.09464,1.884156E+09,10,1,3.88,9.43,237,25,5,2752
-1748.2312,242.9138,1.9159629E+09,12,4,5.47,11.81,197,20,4,2246
-1756.26,246.6933,1.9876301E+09,15,4,6.17,11.59,201,20,4,2833
-1755.791,251.39305,2.0062444E+09,15,1,6.48,10.99,151,15,3,1977
-1764.2697,257.1699,2.0194547E+09,14,2,5.22,10.9,148,15,3,2100
-1760.3025,258.03854,2.0698234E+09,16,3,5.21,11.27,157,15,3,1925
-1756.2222,262.55435,2.0871713E+09,16,2,4.58,10.66,147,15,3,2092
-1765.3286,265.1082,2.1083469E+09,15,2,4.67,9.86,240,25,5,3465
-1754.7732,269.6939,2.1051404E+09,11,0,3.66,9,156,15,3,1907
-1750.8009,267.7898,2.0896274E+09,7,1,1.88,5,148,15,3,1974
-1745.296,265.98932,2.0844072E+09,7,2,2.15,5.51,350,35,7,4217
-1744.2366,265.06622,2.08882E+09,8,2,4.12,8.71,208,20,4,2275
-1744.2366,265.5187,2.16249E+09,14,6,5.54,11.97,301,30,6,3730
-1745.7345,269.86096,2.2020132E+09,16,4,6.78,10.07,139,15,3,1993
-1749.1578,276.52563,2.229927E+09,17,3,6.48,10.2,155,15,3,2045
-1744.8391,283.8993,2.2212198E+09,16,1,7.05,11.43,145,15,3,2028
-1739.6034,284.15842,2.2616827E+09,16,2,5.54,11.59,154,15,3,1918
-1719.2689,289.30377,2.279139E+09,13,0,5.49,11.4,164,15,3,1848
-1709.2938,294.51675,2.3053632E+09,7,0,3.38,8.07,345,35,7,3501
-1702.6693,293.37732,2.3086454E+09,6,2,1.12,2.49,156,15,3,2199
-1702.4498,298.892,2.3389683E+09,7,0,4.17,9.48,143,15,3,2127
-1704.68,298.93347,2.3466906E+09,9,3,3.42,8.12,145,15,3,1705
-1704.6215,297.28244,2.3240704E+09,9,0,2.09,4.03,155,15,3,1880
-1705.6428,298.20975,2.377698E+09,10,2,3.14,6.62,453,45,9,6681
-1714.5216,303.35175,2.3765752E+09,9,2,4.66,9.14,154,15,3,1628
-1721.712,304.6888,2.442006E+09,12,5,5.4,10.55,357,35,7,4744
-1721.7115,317.6758,2.5165893E+09,13,0,4.19,11.02,209,20,4,2695
-1721.9658,316.23303,2.5376945E+09,12,2,3.58,9.06,140,15,3,1998
-1713.2227,318.2009,2.5561649E+09,11,1,3.74,8.62,159,15,3,2075
-1716.4387,318.68634,2.5509606E+09,9,2,3.01,7.88,264,25,5,2867
-1716.4387,317.82913,2.5509558E+09,11,2,3.46,6.81,139,15,3,1395
-1716.5889,317.52896,2.5456932E+09,11,1,3.65,9.68,150,15,3,1820
-1714.0331,318.95166,2.5653727E+09,13,4,3.66,8.75,152,15,3,1538
-1719.7029,322.37186,2.599899E+09,12,0,4.45,9.65,156,15,3,1618
-1721.5972,322.69772,2.596403E+09,11,1,3.5,8.55,252,25,5,3247
-1730.8475,322.45746,2.590453E+09,9,2,3.69,8.78,147,15,3,1620
-1728.5452,326.28558,2.6330186E+09,8,2,4.96,10.69,159,15,3,2225
-1322.5,23.524107,185580340,10,2,4.35,8.47,255,25,5,3363
-1701.3334,25.274479,190041650,10,1,3.51,8.32,150,15,3,1578
-1706.6666,25.665417,179068740,9,0,2.34,5.26,152,15,3,2275
-1968.2858,26.27822,210643920,9,1,2.38,6.5,307,30,6,4273
-1871.25,27.86684,240041650,10,2,4.02,7.99,148,15,3,1644
-2018.2727,29.923717,259626580,10,3,3.56,8.91,308,30,6,4417
-2177.5386,35.363056,316444400,10,0,4.14,10.29,297,30,6,3746
-2261.6875,38.91901,316183550,8,1,3.18,6.17,154,15,3,2240
-2161.2778,38.564953,326685020,8,2,2.57,5.51,197,20,4,2855
-2161.2778,43.226852,347313630,10,2,3.62,7.86,307,30,6,3299
-2184.6316,44.92488,358877020,12,3,3.44,8.85,146,15,3,1658
-2279.7144,46.660313,419554100,13,3,4.46,10.92,150,15,3,2022
-2249.1738,50.294247,419077340,12,1,3.76,9.83,148,15,3,2149
-2208.125,52.896214,468088960,14,3,4.46,9.48,202,20,4,2931
-2138.5806,61.18038,467907070,10,0,3.97,8.85,197,20,4,2158
-2056.9714,61.708168,478547460,7,1,3.07,8.12,299,30,6,4435
-2005.3513,62.671314,504022370,8,3,3.43,8.47,148,15,3,1855
-1985.7632,64.183334,544001500,9,2,4.43,10.65,193,20,4,2603
-1985.7632,67.99628,556867260,12,3,4.53,10.16,354,35,7,3865
-1933.6046,77.65228,580788200,8,0,1.41,2.6,298,30,6,3247
-1907.2954,76.89206,593007740,11,4,2.16,6,151,15,3,1711
-1900.1333,80.24724,661122500,14,4,4.35,10.31,208,20,4,2614
-1921.1489,84.11502,697464800,15,3,5.81,12.34,152,15,3,1544
-1977.4897,90.89803,717028900,14,1,5.67,11.4,161,15,3,1648
-1923.3636,96.01633,717312400,11,0,3.99,8.15,199,20,4,2512
-1930.2982,97.05324,718212600,11,2,3.48,6.81,444,45,9,5839
-1890.9833,100.5023,771658560,10,2,4.88,10.41,250,25,5,3452
-1869.5807,104.469376,767439500,9,1,4.07,8.53,146,15,3,1764
-1872.5781,104.903,776080200,8,1,3.43,9.22,197,20,4,2882
-1875.4462,105.37177,787324800,9,2,3.27,7.97,159,15,3,2313
-1871.1471,107.36232,813235100,9,3,3.62,10.72,195,20,4,2450
-1871.1471,108.283714,836321400,11,2,5.23,9.74,213,20,4,2441
-1865.1014,112.86991,847455940,13,3,5.17,10.08,316,30,6,3578
-1857.0857,116.580826,886845760,13,1,4.67,9.33,267,25,5,3087
-1875.9452,118.62535,869073200,12,0,3.72,8.06,164,15,3,1787
-1858,118.201065,901057700,10,2,2.1,5.22,156,15,3,2173
-1838.575,120.802086,902769900,8,1,3.07,6.57,149,15,3,1806
-1874.642,120.41344,934739650,9,2,2.74,5.84,203,20,4,2447
-1872.2683,122.05917,964011650,12,4,3.42,8.32,142,15,3,1713
-1874.1666,123.82055,1.03434477E+09,12,2,4.86,10.96,159,15,3,1670
-1877.115,131.23457,1.03308205E+09,11,2,5.09,12.26,255,25,5,2900
-1877.115,134.16882,1.1741631E+09,17,6,6.74,11.42,357,35,7,4296
-1866.2222,141.24739,1.1968365E+09,17,3,7.33,11.28,216,20,4,2362
-1863.3407,148.78067,1.2352689E+09,19,3,6.85,10.99,255,25,5,3754
-1830.7766,153.82327,1.2370207E+09,17,1,6.57,11,203,20,4,2330
-1800.8334,159.15944,1.2789592E+09,17,2,6.69,11.71,210,20,4,3073
-1782.6162,163.60782,1.344855E+09,18,4,5.75,11.56,339,35,7,3857
-1745.5491,166.0123,1.3784227E+09,16,1,6.16,10.83,152,15,3,2147
-1746.8365,170.08162,1.4002344E+09,15,1,4.67,11.01,203,20,4,2866
-1737.3113,173.64888,1.4088513E+09,17,4,5.58,11.56,148,15,3,1949
-1724.9182,174.5831,1.4277306E+09,14,1,5.43,11.99,358,35,7,4195
-1720.8948,177.59879,1.4751123E+09,12,2,6.27,11.9,194,20,4,2083
-1716.5,179.87917,1.5176728E+09,13,3,5.16,9.54,318,30,6,4504
-1716.5,186.04895,1.5792524E+09,15,2,5.85,12.31,334,35,7,4369
-1716.0167,191.201,1.5758058E+09,13,2,4.53,10.65,255,25,5,3356
-1721.7933,193.26305,1.584849E+09,14,2,5.29,11.04,199,20,4,2639
-1707.9436,194.1928,1.5834742E+09,13,2,4.84,10.4,158,15,3,2235
-1704.7969,197.62222,1.6056471E+09,12,0,4.42,10.36,197,20,4,2722
-1701.3799,197.73296,1.6401539E+09,16,5,4.16,10.53,146,15,3,2047
-1699.3939,198.93314,1.6657426E+09,16,3,5.31,10.06,237,25,5,2472
-1693.4736,202.35245,1.6653334E+09,16,1,5.78,11.06,139,15,3,1989
-1695.8633,207.02985,1.7058271E+09,12,2,6.21,11.17,156,15,3,2221
-1700.1418,207.04486,1.7822616E+09,16,6,5.98,11.52,145,15,3,1711
-1691.1609,212.5355,1.7786017E+09,16,2,6.25,11.15,154,15,3,1777
-1680.2041,219.43706,1.7659912E+09,14,0,4.47,10.05,153,15,3,1669
-1649.2434,220.99707,1.8436479E+09,11,2,5.06,10.46,147,15,3,1685
-1637.883,224.10803,1.8577338E+09,10,1,4.24,8.97,152,15,3,1616
-1637.883,224.02856,1.8474013E+09,12,2,3.74,10.06,148,15,3,1621
-1634.247,223.56935,1.8453574E+09,7,0,3.51,7.54,147,15,3,1976
-1633.957,223.95259,1.8935112E+09,8,2,3.6,9.44,403,40,8,4084
-1632.0731,230.32553,1.9212965E+09,8,1,4.98,9.98,252,25,5,3640
-1629.4667,232.9639,1.9116E+09,8,0,1.92,3.8,307,30,6,3920
-1632.3054,230.37541,1.9701947E+09,9,3,1.41,4,260,25,5,3350
-1632.3054,234.80266,2.0452097E+09,11,2,5.67,11.51,250,25,5,2566
-1657.2765,243.30614,2.0510627E+09,9,1,4.26,11.57,212,20,4,2440
-1657.2765,244.04028,2.0713024E+09,11,2,5.1,10.54,347,35,7,3734
-1657.2765,245.92108,2.1188887E+09,12,1,4.75,10.14,249,25,5,3712
-1675.3757,248.43358,2.0824216E+09,10,0,1.75,4.44,149,15,3,1769
-1691.9441,248.30643,2.0787523E+09,8,0,4.38,8.01,255,25,5,3681
-1691.9441,246.0795,2.0747885E+09,9,1,1.79,4.38,293,30,6,3389
-1692.1888,245.88283,2.058466E+09,9,1,2.59,6.14,157,15,3,2165
-1701.2568,244.66006,2.0670904E+09,8,2,2.2,3.95,301,30,6,3215
-1707.8649,244.69504,2.0941012E+09,9,3,3.99,10.85,158,15,3,1642
-1717.242,248.54982,2.09436E+09,10,0,4.21,9.97,156,15,3,1892
-1713.9144,246.73679,2.0829894E+09,10,1,1.24,3.79,251,25,5,2916
-1709.2211,245.22754,2.1038083E+09,11,4,2.88,7.62,245,25,5,2673
-1718.4375,247.88882,2.1194908E+09,10,1,5.5,8.8,267,25,5,3495
-1726.8815,247.96404,2.1274079E+09,10,2,4.29,9.95,143,15,3,1638
-1730.5358,249.71768,2.1093221E+09,9,1,4.65,10.48,143,15,3,1933
-1723.4242,248.98029,2.1607027E+09,10,3,4.44,10.92,453,45,9,6442
-1723.4242,252.06161,2.1782456E+09,13,3,5.21,10.36,238,25,5,3364
-1722.095,256.42572,2.1716818E+09,12,1,5.04,11.18,252,25,5,2530
-1723.6119,258.42337,2.1783823E+09,13,2,4.81,9.95,341,35,7,4335
-1713.5846,263.5237,2.223927E+09,9,0,4.21,10.62,255,25,5,2746
-1713.5846,264.5865,2.2328143E+09,11,2,3.94,10.92,197,20,4,2679
-1713.6298,266.4055,2.2456474E+09,12,2,4.25,9.41,260,25,5,2647
-1721.4594,268.16843,2.2873231E+09,13,2,4.59,7.58,350,35,7,5004
